second,duration,transcript
0.96,3.99,"Is it possible to invent a computer
that computes anything in a flash?"
5.67,4.647,"Or do problems exist that would stump
even the most powerful computers imaginable?"
10.317,3.153,How complex is too complex for computation?
14.16,3.223,"These questions are central
to a fascinating conundrum"
17.383,2.41,called the P versus NP problem.
20.22,1.32,"P versus NP,"
21.63,5.238,"is one of the great unsolved problems in all of math and computer science,"
26.878,3.302,"or, you know, really in all of human knowledge, if we're being honest."
30.57,4.92,"Anyone who finds a solution could win
a handsome $1 million prize offered by"
35.49,0.99,the Clay Institute.
37.14,3.034,And this solution could lead to breakthroughs in everything
40.174,2.091,"from medicine to artificial intelligence,"
42.265,2.735,and even the perfect game of Mario Brothers.
45.81,1.65,But it would come at a cost.
47.97,4.345,"A definitive answer to the P versus NP
problem could break your bank account"
52.315,2.825,"and even lead to the end of
the internet as we know it."
57.81,3.18,"To find out why, let's start
with a simple logic puzzle."
62.07,4.23,"A robot arrives in a foreign land where
everyone either always tells the truth"
66.51,1.362,or always lies.
67.872,3.258,"The robot reaches a
fork in the road with two choices."
71.64,2.82,"One path leads to safety in
the land of truth tellers,"
74.82,3.208,"while the other leads to doom. In
the land of liars."
78.028,1.532,A sentry appears.
79.95,2.19,"But it's unclear which
group they belong to."
82.83,3.0,"What question can the robot ask
to determine the safe route?"
86.88,0.96,Here's some options...
91.92,1.393,And here's the answer.
93.313,2.597,"With this one question,"
96.21,3.24,"both types of sentries would
point to the correct safe path,"
99.54,2.809,"allowing the robot to solve
the problem quickly."
102.349,3.287,"Now, what if the robot encounters multiple sentries"
105.636,2.454,and dozens of pathways leading who knows where?
108.54,2.687,What can it do to find safe passage?
111.227,1.843,"Compared to the first problem,"
113.37,3.36,"is a correct solution here
proportionately more difficult to find?"
117.09,1.98,Or is it exponentially harder?
119.85,2.31,"Maybe there's a shortcut
that could speed things up?"
123.06,4.71,"Or maybe finding a solution to this
complex situation is nearly impossible."
129.0,4.11,"The question of how hard a problem is
to solve lies at the very heart of an"
133.11,4.2,"important field of computer science
called computational complexity."
137.49,4.89,"Computational complexity is the
study of the inherent resources"
142.38,3.72,"such as time and space
that are needed to solve"
146.13,4.47,"computational problems, such
as factoring numbers, for example."
150.81,3.511,And especially it's the study of how those resources scale
154.321,2.512,as the problems get bigger and bigger.
157.05,5.505,Computational complexity theorists want to know which problems are solvable using clever algorithms.
162.555,2.625,"And which problems are truly difficult,"
165.42,3.573,"maybe even practically impossible
for computers to crack."
168.993,3.747,"So how do computers solve
problems in the first place?"
173.64,2.548,"A computer's core function is to
compute."
176.188,4.734,These machines perform basic mathematical operations  like addition and multiplication
180.922,1.518,faster than any human.
183.58,4.83,"In 1936, a 23-year-old British
University student, Alan Turing,"
188.56,2.524,"developed a fundamental theory of
computation."
191.084,3.165,"While attempting to solve a problem about the foundations of math,"
194.249,1.661,"Turing claimed in a paper,"
196.12,4.23,"it's possible to invent a machine which
can compute any computable sequence"
200.38,2.051,given enough time and memory.
202.431,2.539,"This simple, theoretical Turing machine,"
205.21,2.086,"which includes a place to
store information"
207.296,2.374,and a device to read and write new information
209.67,1.6,"based on a set of instructions,"
211.51,3.3,"is the basic framework for
all digital computers to come."
215.5,4.62,"One of the key insights of computer
science is that Turing machines are"
220.12,4.32,"mathematically equivalent to
just about any other programming"
224.44,2.58,"formalism that anyone has invented,"
227.23,2.01,at least for conventional computers.
229.66,4.2,"Inside a digital computer, data
are represented as binary bits,"
234.04,1.89,sequences of ones and zeros.
236.23,3.132,And these bits can be manipulated through logical operations
239.362,3.428,using a branch of math that preceded the invention of computers
242.79,1.66,called Boolean algebra.
246.37,4.314,"The basic rules of Boolean algebra
were formulated in 1847"
250.684,2.534,"by English mathematician, George Boole."
253.218,2.985,"Boolean algebra
formulates decision problems,"
256.75,4.763,"yes or no problems that can be asked
in sequence to answer complicated questions."
261.79,4.29,"The output of a Boolean function for
any given input can be represented in"
266.08,3.93,"what's called a truth table,
and it is either one or zero."
270.61,1.62,True or false.
272.92,4.47,"Expressions in Boolean logic consist of
multiple variables linked together by"
277.39,1.346,three logic gates:
278.736,0.903,AND
279.639,1.227,OR
280.866,0.5,NOT.
282.34,2.82,These logic gates work like this.
285.16,4.74,"For an AND gate, when the inputs for both variables X and Y are true,"
290.11,4.08,"the expression evaluates to
true otherwise it's false."
295.36,0.833,"With the OR gate,"
296.68,3.99,"the expression evaluates to
true when either X or Y is true."
301.57,2.94,"A NOT gate simply inverts
the value of a variable,"
304.72,2.88,switching a true to false or vice versa.
308.26,1.92,"By using only these three simple,"
310.18,3.69,"logical operations and building
them up into various configurations,"
314.17,4.41,"Boolean formulas can operate
like a Turing machine and
theoretically solve any"
318.58,1.148,computable problem.
319.728,2.662,"In 1937,"
322.75,2.7,"an electrical engineering
graduate student, Claude Shannon,"
326.01,4.48,"demonstrated in his master's thesis
that the Boolean operations AND, OR,"
330.49,3.42,"and NOT can be calculated using
electronic switching circuits."
334.69,0.96,"A decade later,"
335.8,4.05,"Bell Labs introduced the first solid
state semiconducting transistor."
340.78,3.93,"Transistors are simple, electronically
controlled switches with three wires,"
345.01,3.54,"a control wire, and two electrodes
to input and output data."
349.33,3.06,"They can be in one of
two states, on or off,"
352.78,3.9,"representing either a one
or zero. True or false."
357.05,3.342,Transistors can be combined and arranged in different configurations
360.392,3.558,"to mimic the Boolean logic gates
of AND OR, and NOT."
365.21,2.422,By combining enough of these transistors together
367.632,3.158,"on computer chips in complex arrangements called circuits,"
371.15,2.91,"it's theoretically possible
to compute almost anything,"
374.6,2.03,"anything that is computable,
that is,"
376.63,1.48,More about that later.
379.94,4.14,"In the 1950s, Hungarian American
mathematician and computer scientist,"
384.14,2.279,John von Neumann brought the modern computer
386.419,1.681,one step closer to reality.
388.67,3.39,"He developed the architecture of
the universal electronic computer,"
392.36,4.2,"the same architecture at work inside
most electronic computing devices today,"
396.92,2.19,from smartphones to supercomputers.
399.83,4.8,"Since the mid 1950s when the first
transistor based electronic computers were built,"
404.63,2.386,the technology has swiftly advanced.
407.016,4.064,"by scaling down and cramming more and more transistors onto tiny chips,"
411.38,3.721,"computing power and speed has nearly
doubled every two years."
415.101,4.019,"Today, computers can perform trillions
of calculations per second."
419.87,2.49,But even that's not always good enough.
422.66,2.61,"There's a class of problems
that computers can never solve."
425.96,3.81,"A quandary Alan Turing foresaw in the
same paper where he conjured up his"
429.77,1.467,calculating machine.
431.237,4.533,Turing had the insight and in fact proved that not everything is computable.
436.19,4.77,"The limiting factor is not the hardware,
but instead the software or program."
443.12,4.05,Computers solve problems by followinglists of instructions called algorithms.
447.53,4.62,"An algorithm just means a step-by-step
procedure for solving a problem."
452.84,3.558,"Running an algorithm is analogous to
following the steps of a recipe"
456.398,1.632,or an IKEA assembly manual.
458.87,4.48,"Here's an example of an algorithm that
sorts a list of numbers from lowest to highest."
463.35,1.908,It works like this.
465.258,1.772,Take a random list of numbers.
467.27,3.42,"Start with a first number from
the left, which here is six."
471.29,3.3,"Now look through the remaining
numbers and identify the smallest one,"
475.01,1.845,which in this case is three.
476.855,2.595,"Next, swap the places of six and three,"
479.66,2.64,"and you'll have the smallest
number in the group on the left."
482.96,1.98,"Take a second pass this time,"
484.94,2.048,starting with the second number from the left.
486.988,2.512,Swap with the smallest and so on.
491.27,3.81,"After enough passes, all the numbers
are sorted, lowest to highest"
495.14,1.5,using this simple algorithm.
498.26,3.15,"Any problem that can be solved
by an algorithm is computable."
501.92,4.89,"But by the 1970s, computer scientists
realize that not all computable problems"
506.81,1.307,are created equal.
508.117,1.603,"Some turned out to be easy,"
510.08,1.577,while others seemed hard.
511.657,2.383,"For problems like multiplication,"
514.34,2.69,"computer scientists found really
fast algorithms,"
517.03,3.49,"but for others,  like optimizing the
operations in a factory,"
520.88,2.37,they couldn't find any easy solutions.
524.36,2.22,"And it turned out that
some problems were so hard,"
526.85,3.55,the only known way to solve them could end up taking more solution steps
530.4,3.191,"than there are subatomic particles
in the universe."
533.591,3.349,"Thus, the P versus NP problem was born."
538.29,2.73,So what exactly does P and NP mean?
542.04,3.517,"P problems, or problems that can be solved in polynomial time"
545.557,3.923,are the types of problems that are relatively easy for computers to solve.
549.78,4.812,"The vast majority of what we use
our computers for on a day-to-day basis,"
554.592,3.468,"you know, you could think of
as solving various problems in P."
558.81,2.767,"From finding the shortest path between
two points on a map."
561.577,2.662,"to sorting a list of names alphabetically,"
564.239,2.031,or searching for an item on a list.
566.88,3.03,"These are all examples
of polynomial P problems."
570.69,2.287,A polynomial is a mathematical function
572.977,4.102,that can contain variables raised to a fixed power or exponent
577.079,2.461,like N to the power of two or n cubed.
580.44,4.088,"The time it takes a computer to solve P
problems grows polynomially"
584.528,2.174,as the input increases in size.
586.702,2.408,"Given enough computing power,"
589.26,4.02,"all problems in P can be solved by a
computer in a practical amount of time."
597.12,3.96,"Now, NP problems are a class of
problems that share a unique feature."
601.86,4.584,"If given the solution, it turns
out to be quick and easy to verify If it's correct."
606.444,5.297,Easily solved P problems are contained within the class of all NP problems
611.741,4.205,because they can also be verified relatively quickly in polynomial time.
615.946,4.339,"However, there's a class of NP problems that are easy to check,"
620.61,2.34,"yet seem difficult to
solve in the first place."
623.31,5.69,"It's really helpful to think about
something like a jigsaw puzzle or a Sudoku puzzle, right?"
629.0,2.32,"We all have experience that, you know,"
631.33,4.49,"these could require an enormous 
amount of trial and error to solve."
635.88,2.85,"But nevertheless, you know, if
someone says that they solved it,"
638.73,2.37,"it's much easier to
check whether they did."
641.82,4.2,"If someone gives you a completed hard
puzzle like a large Sudoku or crossword,"
646.35,3.45,the answers can be verified much fasterthan it can be solved in the first place.
649.8,2.58,It's the same for a computer.
652.98,2.888,The reason these types of NP problems can be more difficult
655.868,3.052,"for a computer to solve is because as far as we know,"
659.07,4.35,"their complexity increases
exponentially as their input increases."
664.17,3.03,An exponential function has the variable in the exponent
667.2,6.0,"like two to the power of N. Here's an example of
exponential versus polynomial growth."
673.23,1.346,For the same input.
674.576,3.244,"With these hard, exponential NP problems,"
678.0,4.05,"the increased complexity of large inputs
can quickly exceed the limits of what a"
682.05,2.67,"computer can compute in a
reasonable amount of time."
685.32,4.44,"And solving them using brute
force techniques alone is
practically impossible."
690.57,1.77,"You could be doing that, you know,"
692.34,4.321,"from from now until the whole universe
has degenerated into black holes"
696.661,2.519,"and you wouldn't have
even made a dent in it."
700.14,0.833,"Over the years,"
701.04,3.93,"mathematicians discovered clever
polynomial algorithms for some seemingly"
704.97,1.44,difficult NP problems.
706.71,3.408,Proving that these problems were actually in the simpler class P
710.118,2.752,and making them solvable by a computer.
712.87,2.61,"This opened the door to the question,"
716.05,2.91,are all NP problems really P problems?
719.59,3.99,"Could every problem that is seemingly
intractable for a computer to solve today"
723.97,1.8,turn out to be easy in the future?
727.09,3.48,"P equaling NP would have
far ranging consequences."
730.96,3.75,"Solutions to nearly any problem
would be well within our reach."
735.52,2.269,AI would become smarter overnight.
737.789,4.079,"Businesses could solve
complicated optimization and logistics problems"
741.868,1.632,boosting the global economy.
743.86,3.06,"And scientists could make once
unthinkable breakthroughs."
747.43,3.3,"Maybe we could even find a
cure for the common cold?"
751.99,2.13,"However, if P equals NP,"
754.36,3.816,"that would also mean that all current
methods for strong encryption"
758.176,3.248,security measures that protect everything from your online privacy
761.424,1.006,to your crypto wallet
762.82,2.089,would instantly become obsolete.
764.909,1.691,It would be hacker heaven.
768.88,1.14,"In the 1970s,"
770.17,2.265,mathematicians Stephen Cook and Leonid Levin
772.435,3.765,"working independently on opposite sides of the Iron Curtain,"
