second,duration,transcript
1.52,4.92,sometimes people ask me why I'm now
3.76,5.919,doing science news it's so that you can
6.44,5.119,fully appreciate the drama of scientific
9.679,3.92,discovery in which one result
11.559,4.921,contradicts a previous one and the next
13.599,5.241,one finds a flaw in this other one I
16.48,3.92,think the entertainment value of science
18.84,3.72,is greatly
20.4,4.199,underappreciated and Quantum Computing
22.56,4.959,is without doubt one of the most
24.599,4.76,dramatic areas at the moment on the one
27.519,4.361,hand you have people claiming it's the
29.359,5.04,next in Industrial Revolution and it's
31.88,4.12,going to change the world and on the
34.399,3.801,other hand you have people saying it's
36.0,5.64,all hype quantum computers are
38.2,6.199,interesting but useless this new paper
41.64,5.88,supports the letter Camp let's have a
44.399,5.68,look quantum computers are devices that
47.52,5.44,exploit Quantum links known as
50.079,4.841,entanglement and know that's not what
52.96,4.88,Einstein meant by spooky action at a
54.92,5.08,distance entanglement doesn't exist in
57.84,4.76,conventional computers and because
60.0,5.88,quantum computers have these additional
62.6,5.96,ways to encode and handle information
65.88,5.32,they can perform some calculations much
68.56,5.28,faster the relevant part of the previous
71.2,5.32,sentence is that they can perform some
73.84,5.639,calculations much faster it isn't the
76.52,5.04,case for all calculations nevertheless
79.479,4.561,the calculations that quantum computers
81.56,5.76,can speed up cover several commercially
84.04,5.88,relevant cases such as quantum chemistry
87.32,5.159,that plays a role in material design and
89.92,5.36,drug development as well as Logistics
92.479,5.401,and finance this is why there are so
95.28,5.68,much hype around quantum computers and
97.88,5.599,that talk about a new Revolution on the
100.96,4.64,other hand there are a lot of practical
103.479,4.801,problems in making quantum computers
105.6,5.24,work I mean besides the problem that no
108.28,5.04,one understands quantum mechanics though
110.84,5.08,there's that the real issue is that
113.32,5.96,these Quantum links are incredibly
115.92,6.119,fragile depending on how you create them
119.28,5.479,they might last micros seconds to a few
122.039,5.161,seconds but that's about it and your
124.759,5.72,calculation needs to be done within that
127.2,5.24,time and I mean I do calculations for my
130.479,4.361,financial management within a few
132.44,4.799,microseconds but it's probably not a
134.84,5.36,good thing there are many approaches to
137.239,5.441,Quantum Computing that differ by how you
140.2,5.28,physically realize the quantum bits
142.68,5.4,cubits for short I've talked about this
145.48,5.039,in several previous episodes but all
148.08,5.08,these approaches have this problem in
150.519,5.121,common the quantum information is very
153.16,5.999,sensitive to disturbances which brings
155.64,5.64,in errors these errors can be avoided by
159.159,4.881,introducing redundancies but that
161.28,5.2,requires making the computers larger
164.04,4.479,which brings in more problems what this
166.48,4.56,means is that the need for error
168.519,5.761,correction moves useful quantum
