second,duration,transcript
0.12,3.2,assembly a low-level programming
1.8,3.24,language allowing humans to give
3.32,3.519,instructions to the computer's Hardware
5.04,3.84,you see computers can only do things in
6.839,3.601,terms of zero or one so assembly was
8.88,3.04,created in order to make computer
10.44,3.6,instructions more workable for human
11.92,3.719,beings this works by using an assembler
14.04,3.319,that translates the human readable code
15.639,3.521,into one's and zeros assembly is one of
17.359,3.0,the world's first programming languages
19.16,2.72,it used to be the standard to run
20.359,3.08,supercomputers back in the day but you
21.88,3.52,still find it used currently to work
23.439,4.721,with CPU memory and it's used sometimes
25.4,4.6,in browsers via web assembly Fortran one
28.16,3.32,of the world's first highle languages
30.0,3.079,the difference between a highle language
31.48,3.16,and a lowlevel language is in a
33.079,3.64,low-level language you can manipulate
34.64,3.84,the computer's memory much more directly
36.719,3.68,it also executes much faster than a
38.48,3.68,highle language the drawback is is that
40.399,3.401,it's much harder to learn a highle
42.16,2.96,language is much easier to understand
43.8,3.439,and there's a lot of support but the
45.12,4.759,code is much slower Fortran was created
47.239,4.401,by IBM in the 1950s the name stands for
49.879,3.48,a formula translator programming in
51.64,3.12,Fortran would be done by using a punch
53.359,3.161,card then would be fed into a card
54.76,3.36,reader and would be translated into code
56.52,3.559,that the computer can understand this
58.12,3.399,translating process is called compiling
60.079,3.361,which basically changes the code that
61.519,4.0,humans can read into the ones and zeros
63.44,3.92,computers can understand comtran also
65.519,3.441,known as commercial translator is
67.36,3.399,another programming language developed
68.96,3.799,by IBM it served as the business
70.759,3.841,equivalent to Fortran in which Fortran
72.759,3.201,was used for scientific Computing it was
74.6,3.12,influenced by another programming
75.96,3.64,language called flomatic a programming
77.72,3.24,language for data processing that ran on
79.6,3.879,this giant supercomputer called the
80.96,4.199,univac 1 lisp also known as list
83.479,3.441,processing was created soon after
85.159,3.361,Fortran it's known for using a lot of
86.92,3.32,parentheses in its code it was an
88.52,3.52,Innovative language which in insired
90.24,3.559,these Concepts in programming cobal
92.04,3.2,standing for common business oriented
93.799,3.96,language was the programming language
95.24,4.28,developed in 1959 for you guessed it
97.759,3.68,businesses even though it was made so
99.52,3.599,long ago it is still used today by many
101.439,3.441,financial institutions to process
103.119,3.521,transactions the code looks like plain
104.88,3.519,English sentences but this would later
106.64,3.36,be translated onto a punch card one of
108.399,4.68,the first adopters of the language was
110.0,4.68,the US Department of Defense IBM RPG IBM
113.079,3.481,report program generator is a
114.68,4.0,programming language created by IBM
116.56,3.72,meant to run on IBM systems it's one of
118.68,4.0,the only programming languages to makes
120.28,4.68,use of rows and columns for its code
122.68,4.16,alol 60 short for algorithmic language
124.96,3.439,1960 is not a very well-known
126.84,3.199,programming language but is one of the
128.399,3.161,languages that inspired one of the most
130.039,3.521,well-known programming languages in the
131.56,3.72,world C it was also one of the first
133.56,4.679,programming languages to use nested
135.28,5.08,functions APL standing for a programming
138.239,3.601,language first appeared in the 1960s is
140.36,3.56,a programming language developed for
141.84,3.92,mathematical equations mostly algebra it
143.92,3.72,uses a lot of math and Greek symbols
145.76,3.6,directly in the code simula a
147.64,3.52,programming language made many decades
149.36,4.0,ago that was one of the world's first
151.16,4.0,object-oriented language objectoriented
153.36,3.8,programming is a way for programmers to
155.16,3.6,use blocks of code that are reusable and
157.16,2.92,can interact with each other instead of
158.76,2.72,pure functions and logic in
160.08,3.6,object-oriented programming you use
161.48,4.08,blocks of code called objects objects
163.68,3.6,are created by things called classes
165.56,3.64,which contain properties and can use
167.28,4.12,methods to explain it simply you can
169.2,4.2,create a class called Pokémon name the
171.4,3.88,object Charmander give it properties
173.4,3.759,such as fire type and allow it to
175.28,3.72,execute methods such as flamethrower and
177.159,3.16,scratch Speak Easy A programming
179.0,3.12,language that was mainly M used by
180.319,4.56,physicists in the' 60s it's known for
182.12,4.399,using a colore in its code basic the
184.879,3.121,beginners allpurpose symbolic
186.519,3.881,instruction code was created at
188.0,3.92,Dartmouth in 1963 it was created with
190.4,3.199,the purpose of getting the average lay
191.92,3.599,person to be able to learn how to code
193.599,3.801,you see before that time programming had
195.519,3.64,only been the domain of scientists and
197.4,4.04,mathematicians this was because of its
199.159,3.841,easy to understand syntax syntax is
201.44,4.159,basically the rules to writing in a
203.0,4.48,programming language Ms Ms aka the
205.599,3.601,Massachusetts General Hospital utility
207.48,3.759,multiprogramming system or sometimes
209.2,4.039,just m for short was created to manage
211.239,3.801,Hospital laboratory Information Systems
213.239,3.64,it was also used to manage electronic
215.04,3.68,health records its code tends to be very
216.879,3.64,tur which means you can take most of its
218.72,4.28,word commands and abbreviate them into
220.519,4.241,simple short letters logo an educational
223.0,3.12,programming language made in the' 60s
224.76,3.52,which makes use of what is known as a
226.12,4.0,turtle graphic not an actual Turtle it's
228.28,3.599,the name of the cursor used to draw
230.12,3.8,geometric shapes as determined by the
231.879,4.2,code Pascal a programming language that
233.92,3.8,was very popular in the' 70s even being
236.079,3.08,the default language for many computers
237.72,2.879,back in the day it was one of the first
239.159,3.36,programming language to be used by an
240.599,3.601,IDE which is an integrated development
242.519,3.28,environment basically a dedicated
244.2,3.28,program to write its code one of the
245.799,4.0,most well-known programs created with
247.48,4.2,Pascal was Photoshop C A programming
249.799,3.241,language created in the' 70s that is one
251.68,3.279,of the most popular programming
253.04,3.96,languages of all time created at Bell
254.959,4.041,Labs it is the basis of many operating
257.0,3.759,systems such as Windows and Linux it
259.0,4.639,also inspired many programming languages
260.759,6.841,that came after it such as C++ c
263.639,5.28,objectiv c go Java JavaScript PHP Python
267.6,2.92,and many more it's known for its
268.919,3.921,lowlevel ACC access to the computer's
270.52,4.08,memory by using code called pointers
272.84,3.32,computer memory was much more of a
274.6,3.2,finite resource than the past so
276.16,3.24,programmers had to be much more careful
277.8,3.2,about how they allocated it otherwise
279.4,3.32,it'll cause problems such as memory
281.0,3.52,leaks which is basically when programs
282.72,3.8,use up too much memory in your computer
284.52,4.0,causing the computer to become painfully
286.52,3.679,slow Small Talk a programming language
288.52,3.6,in the' 70s that was known for its
290.199,3.401,object-oriented programming it inspired
292.12,3.12,many object-oriented programming
293.6,3.319,languages that came after it prologue
295.24,3.399,known as the first logic programming
296.919,4.28,language it is known for being modeled
298.639,4.481,after formal logic in philosophy ml also
301.199,3.801,known as meta language pioneered
